,product_name,ratings,sale_price,actual_price
107,Samsung Galaxy Book3 (NP754) Intel Core i3 13th Gen 1315U 39.6cm (15.6-inch) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11 Pro (64bit)/Intel UHD Graphics/Silver/1.57 Kg),4.1,"40,690","85,990"
108,Lenovo V14 G3 (2024),5.0,"30,990","71,990"
109,HP [Smart Choice Omen Gaming Laptop,4.0,"1,11,990","1,32,645"
110,"Lenovo IdeaPad Slim 5 Intel Core i7 13700H 16""(40.6cm) WUXGA IPS Laptop (16GB/512GB SSD/Win 11/Office 2021/Backlit KB/FHD Camera/Alexa/3 month Game Pass/Cloud Grey/1.89Kg)",4.0,"76,990","1,24,590"
111,"Lenovo V15 12th Gen Intel Core i5-1235U 15.6"" FHD Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/MS Office Home & Student 2021/Iron Grey/1.70 kg)",,"44,990","92,014"
112,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display",3.3,"20,990","33,999"
113,"(Refurbished) Lenovo V310 7th Gen Intel Core i3 Thin & Light HD Laptop (8 GB DDR4 RAM|256 GB SSD|14"" (35.6 cm) HD|Windows 11|MS Office|WiFi|BT|Webcam|Intel HD Graphics)  ",,"12,999","89,999"
114,"Chuwi HeroBook Plus 15.6"" FHD Laptop",3.9,"18,990","39,990"
115,HP Laptop 15,4.3,"33,990","45,438"
116,HP [Windows 11 Home] 255 G8 Notebook,3.7,"22,480","27,057"
117,"Lenovo LOQ 2024 Intel Core i5-13450HX 15.6"" (39.6cm) 144Hz 300Nits FHD IPS Gaming Laptop (16GB/512GB SSD/Win 11/NVIDIA RTX 4050 6GB Graphics/MSO 21/1Yr ADP Free/3 Mon Game Pass/Grey/2.4Kg)",4.2,"82,990","1,12,990"
118,MSI Thin A15,4.6,"47,990","72,990"
119,Acer Nitro V Gaming Laptop AMD Ryzen 7-7735HS with RTX 3050 6 GB Graphics (16 GB DDR5/512GB SSD/Windows 11 Home/Wi-Fi 6/144Hz) ANV15-41,5.0,"65,990","89,999"
120,Dell 15 Thin & Light Laptop,3.5,"52,490","63,994"
121,Acer ALG 12th Gen Intel Core i5 Gaming Laptop (16GB RAM/512GB SSD/4GB RTX 2050 Graphics/60Hz/Win11Home/Wifi 6) AL15G-52,4.0,"51,990","89,990"
122,(Refurbished) Dell Latitude 5410 10th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/512 GB SSD/14 (35.6 cm) HD/Windows 11 Pro/MS Office/WiFi/BT/Intel UHD Graphics)  ,,"26,899","59,999"
123,ASUS Vivobook 15,5.0,"25,990","39,990"
124,MSI Modern 14,4.5,"30,990","44,990"
125,"Lenovo Thinkpad P14s 13th Gen Intel Core i7 14""(35.56 cm) WUXGA IPS 300nits Thin and Light Workstation (16GB/512GB SSD/Win 11 Pro/Backlit/Villi Black/3Y Premier/NVIDIA RTX A500 4GB/1.34Kg)",4.0,"1,29,990","1,80,900"
126,HP Pavilion 15,3.9,"46,990","58,841"
127,MSI Thin 15,4.6,,
128,HP 15s 12th Gen Intel Core i5 1235U,3.9,"44,020","68,223"
